"check_in_count","average_stars","n_photo","review_count","scaled_capped_business_proximity","landmarks_nearby","scaled_capped_surrounding_children","scaled_capped_surrounding_youth","scaled_capped_surrounding_adults","scaled_capped_surrounding_elders","attribute_count","restaurantspricerange2","alcohol","wifi","isromantic","isintimate","istouristy","ishipster","isdivey","isclassy","istrendy","isupscale","iscasual","parking_garage","parking_street","parking_validated","parking_lot","parking_valet","bikeparking","outdoorseating","restaurantstableservice","byob","businessacceptscreditcards","hastv","restaurantsreservations","restaurantsdelivery"
2.07944154167984,4,0,6,-0.333953928831024,4,-0.887968156323503,-0.985043923051262,-1.56456841311723,-1.04510613207547,10,1,"Full_bar","None","0","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","1","0","0"
2.07944154167984,3.25,3,4,0.128717648143218,15,0.834178444276621,1.95559185340207,1.2108249672632,1.13589743589744,11,2,"Full_bar","None","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","1","0","1","1","0","1"
2.07944154167984,3.2,3,10,0.128717648143218,15,0.861805681201375,2.1250416990993,1.21462495288353,1.14375,11,2,"Full_bar","None","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","1","0","1","1","0","1"
0.693147180559945,4.6,0,5,-0.123550703686688,12,0.467256446218578,0.0982594048287479,0.805211318391437,0.692808005003127,1,1,"Non_alcohol","None","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
0.693147180559945,4.3333,0,3,-0.123550703686688,12,0.483589650805138,0.110530412543089,0.772936298529966,0.644811320754717,1,2,"Non_alcohol","None","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1"
1.09861228866811,4.7333,0,15,-0.427690191130644,11,0.490631855288237,0.495380531876882,0.336363463837701,0.719949968730457,8,1,"Non_alcohol","Free","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","1","0","0"
1.38629436111989,4.7778,0,9,-0.427690191130644,11,0.461841867197395,0.507227843878572,0.358480964945345,0.761792452830189,8,1,"Non_alcohol","Free","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","0","1","1","0","0"
3.13549421592915,4.2927,7,41,0.0541150292294498,11,0.0561009817671809,1.59435455055893,0.252747044199419,0.30462789243277,12,2,"Non_alcohol","None","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","1","1","0","1","1"
3.46573590279973,4.1915,7,47,0.0541150292294498,11,0.0258368011579519,1.75369732013788,0.296852619675839,0.368926886792453,12,2,"Non_alcohol","None","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","1","1","1","0","1","1"
3.36729582998647,4.2143,4,14,-0.246708147078753,16,0.0519293703024418,0,-0.49851023855161,-0.679674796747967,21,2,"Full_bar","Free","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","1","0","1"
3.73766961828337,3.68,4,25,-0.246708147078753,16,0.0561244798263072,0,-0.452808141726348,-0.581957547169811,21,2,"Full_bar","Free","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","1","0","1"
4.48863636973214,3.7805,20,41,-0.0360317212453497,15,-0.403675333549106,0.0800877954162626,-0.353082952194789,-0.450781738586617,15,1,"Non_alcohol","Free","0","0","0","1","0","0","0","0","1","0","1","0","1","0","1","1","0","0","1","1","0","1"
4.29045944114839,4.3514,20,37,-0.0360317212453497,15,-0.398299258187082,0.126098076281552,-0.277742178665662,-0.372346698113208,15,1,"Non_alcohol","Free","0","0","0","1","0","0","0","0","1","0","1","0","1","0","1","1","0","0","1","1","0","1"
3.55534806148941,4.6,9,55,-0.0296716480517972,27,0.0134498507570036,-0.270991781940687,0.404778623346555,0.28780487804878,12,1,"Non_alcohol","Free","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","1","1","0","1"
2.89037175789616,4.2857,9,21,-0.0296716480517972,27,0.00144743984078162,-0.26731902590904,0.413626083678854,0.280070754716981,12,1,"Non_alcohol","Free","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","1","1","0","1"
1.79175946922805,2.8571,8,28,-0.0799856833423182,9,-0.444456431833711,-0.432086162013169,0,-0.153971232020013,17,2,"Full_bar","Free","1","1","0","0","0","1","0","0","1","1","1","1","0","0","1","1","1","0","1","1","1","0"
2.77258872223978,3.1333,8,30,-0.0799856833423182,9,-0.443929799167722,-0.456076948737907,0.0324726724462872,-0.0924528301886792,17,2,"Full_bar","Free","0","0","0","0","0","0","0","0","1","1","1","1","0","0","1","1","1","0","1","1","1","0"
2.89037175789616,2.6,0,10,-0.447272164425795,7,1.36077246736433,0.821346536675004,0.978061602110337,0.692370231394622,13,2,"Full_bar","None","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","1","1","1"
3.3322045101752,2.7692,0,13,-0.447272164425795,7,1.3861045775285,0.839375069498499,0.965096117602714,0.708018867924528,13,2,"Full_bar","None","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","1","1","1"
1.09861228866811,1,0,1,-0.462268827750882,0,-1.07964537723901,-1.24669187145558,-2.07932529212213,-1.40406839622642,5,2,"Full_bar","Free","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1"
3.17805383034795,4.4375,1,16,2.09887725362105,25,0.0134498507570036,-0.270991781940687,0.404778623346555,0.28780487804878,11,1,"Non_alcohol","None","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","1","0","1"
